frame,vehicle,raw,trimmed,curved,demand,speed,selector,curve
378,1,0,0,0,0,16,3,A
379,1,0,0,0,0,17,3,A
380,1,0,0,0,0,18,3,A
381,1,0,0,0,0,19,3,A
382,1,0,0,0,0,12,3,A
383,1,0,0,0,0,13,3,A
384,1,0,0,0,0,15,3,A
385,1,0,0,0,0,18,3,A
386,1,0,0,0,0,13,3,A
387,1,0,0,0,0,16,3,A
388,1,0,0,0,0,17,3,A
389,1,0,0,0,0,18,3,A
390,1,0,0,0,0,19,3,A
391,1,0,0,0,0,13,3,A
392,1,0,0,0,0,14,3,A
393,1,0,0,0,0,15,3,A
394,1,0,0,0,0,16,3,A
395,1,0,0,0,0,18,3,A
396,1,0,0,0,0,19,3,A
397,1,0,0,0,0,16,3,A
398,1,0,0,0,0,19,3,A
399,1,0,0,0,0,22,3,A
400,1,0,0,0,0,25,3,A
401,1,0,0,0,0,27,3,A
402,1,0,0,0,0,24,3,A
403,1,0,0,0,0,27,3,A
404,1,0,0,0,0,30,3,A
405,1,0,0,0,0,32,3,A
406,1,0,0,0,0,34,3,A
407,1,0,0,0,0,36,3,A
408,1,0,0,0,0,38,3,A
409,1,0,0,0,0,35,3,A
410,1,0,0,0,0,37,3,A
411,1,0,0,0,0,39,3,A
412,1,0,0,0,0,41,3,A
413,1,0,0,0,0,43,3,A
414,1,0,0,0,0,44,3,A
415,1,0,0,0,0,38,3,A
416,1,0,0,0,0,40,3,A
417,1,0,0,0,0,42,3,A
418,1,0,0,0,0,44,3,A
419,1,0,0,0,0,46,3,A
420,1,0,0,0,0,47,3,A
421,1,0,0,0,0,49,3,A
422,1,0,0,0,0,50,3,A
423,1,0,0,0,0,52,3,A
424,1,0,0,0,0,53,3,A
425,1,0,0,0,0,54,3,A
426,1,0,0,0,0,56,3,A
427,1,0,0,0,0,57,3,A
428,1,0,0,0,0,58,3,A
429,1,0,0,0,0,60,3,A
430,1,0,0,0,0,61,3,A
431,1,0,0,0,0,62,3,A
432,1,0,0,0,0,64,3,A
433,1,0,0,0,0,65,3,A
434,1,0,0,0,0,66,3,A
435,1,0,0,0,0,67,3,A
436,1,0,0,0,0,64,3,A
437,1,0,0,0,0,65,3,A
438,1,0,0,0,0,66,3,A
439,1,0,0,0,0,68,3,A
440,1,0,0,0,0,69,3,A
441,1,0,0,0,0,65,3,A
442,1,0,0,0,0,67,3,A
443,1,0,0,0,0,68,3,A
444,1,0,0,0,0,69,3,A
445,1,0,0,0,0,70,3,A
446,1,0,0,0,0,71,3,A
447,1,0,0,0,0,73,3,A
448,1,0,0,0,0,74,3,A
449,1,0,0,0,0,75,3,A
450,1,0,0,0,0,76,3,A
451,1,0,0,0,0,77,3,A
452,1,0,0,0,0,79,3,A
453,1,0,0,0,0,80,3,A
454,1,0,0,0,0,81,3,A
455,1,0,0,0,0,84,3,A
456,1,0,0,0,0,88,3,A
457,1,0,0,0,0,86,3,A
458,1,0,0,0,0,89,3,A
459,1,0,0,0,0,92,3,A
460,1,0,0,0,0,93,3,A
461,1,0,0,0,0,94,3,A
462,1,0,0,0,0,95,3,A
463,1,0,0,0,0,95,3,A
464,1,0,0,0,0,96,3,A
465,1,0,0,0,0,97,3,A
466,1,0,0,0,0,98,3,A
467,1,0,0,0,0,99,3,A
468,1,0,0,0,0,99,3,A
469,1,0,0,0,0,100,3,A
470,1,0,0,0,0,101,3,A
471,1,0,0,0,0,102,3,A
472,1,0,0,0,0,103,3,A
473,1,0,0,0,0,99,3,A
474,1,0,0,0,0,100,3,A
475,1,0,0,0,0,100,3,A
476,1,0,0,0,0,101,3,A
477,1,0,0,0,0,102,3,A
478,1,0,0,0,0,103,3,A
479,1,0,0,0,0,104,3,A
480,1,0,0,0,0,104,3,A
481,1,0,0,0,0,105,3,A
482,1,0,0,0,0,106,3,A
483,1,0,0,0,0,107,3,A
484,1,0,0,0,0,107,3,A
485,1,0,0,0,0,108,3,A
486,1,0,0,0,0,104,3,A
487,1,0,0,0,0,105,3,A
488,1,0,0,0,0,106,3,A
489,1,0,0,0,0,107,3,A
490,1,0,0,0,0,107,3,A
491,1,0,0,0,0,108,3,A
492,1,0,0,0,0,109,3,A
493,1,0,0,0,0,110,3,A
494,1,0,0,0,0,111,3,A
495,1,80,61,35,0,111,3,A
496,1,80,61,35,1,112,3,A
497,1,80,61,35,2,113,3,A
498,1,80,61,35,3,114,3,A
499,1,80,61,35,4,114,3,A
500,1,80,61,35,5,110,3,A
501,1,80,61,35,6,110,3,A
502,1,80,61,35,7,111,3,A
503,1,80,61,35,8,112,3,A
504,1,80,61,35,9,112,3,A
505,1,80,61,35,10,113,3,A
506,1,80,61,35,11,113,3,A
507,1,80,61,35,11,114,3,A
508,1,80,61,35,12,114,3,A
509,1,80,61,35,13,115,3,A
510,1,80,61,35,14,108,3,A
511,1,80,61,35,15,108,3,A
512,1,80,61,35,16,109,3,A
513,1,80,61,35,17,109,3,A
514,1,80,61,35,18,109,3,A
515,1,-80,-61,-35,17,110,3,A
516,1,-80,-61,-35,16,110,3,A
517,1,-80,-61,-35,15,111,3,A
518,1,-80,-61,-35,14,111,3,A
519,1,-80,-61,-35,13,107,3,A
520,1,-80,-61,-35,13,107,3,A
