frame,vehicle,raw,trimmed,curved,demand,speed,selector,curve
625,1,0,0,0,0,145,0,B
626,1,0,0,0,0,146,0,B
627,1,0,0,0,0,146,0,B
628,1,0,0,0,0,147,0,B
629,1,0,0,0,0,148,0,B
630,1,0,0,0,0,148,0,B
631,1,0,0,0,0,149,0,B
632,1,0,0,0,0,150,0,B
633,1,0,0,0,0,150,0,B
634,1,0,0,0,0,151,0,B
635,1,0,0,0,0,151,0,B
636,1,0,0,0,0,152,0,B
637,1,0,0,0,0,153,0,B
638,1,0,0,0,0,153,0,B
639,1,0,0,0,0,154,0,B
640,1,0,0,0,0,155,0,B
641,1,0,0,0,0,155,0,B
642,1,0,0,0,0,156,0,B
643,1,0,0,0,0,156,0,B
644,1,0,0,0,0,157,0,B
645,1,0,0,0,0,158,0,B
646,1,0,0,0,0,158,0,B
647,1,0,0,0,0,159,0,B
648,1,0,0,0,0,159,0,B
649,1,0,0,0,0,160,0,B
650,1,0,0,0,0,161,0,B
651,1,0,0,0,0,161,0,B
652,1,0,0,0,0,162,0,B
653,1,0,0,0,0,162,0,B
654,1,0,0,0,0,163,0,B
655,1,0,0,0,0,163,0,B
656,1,0,0,0,0,164,0,B
657,1,0,0,0,0,165,0,B
658,1,0,0,0,0,165,0,B
659,1,0,0,0,0,166,0,B
660,1,0,0,0,0,166,0,B
661,1,0,0,0,0,167,0,B
662,1,0,0,0,0,167,0,B
663,1,0,0,0,0,168,0,B
664,1,0,0,0,0,168,0,B
665,1,0,0,0,0,169,0,B
666,1,0,0,0,0,170,0,B
667,1,0,0,0,0,170,0,B
668,1,0,0,0,0,171,0,B
669,1,0,0,0,0,171,0,B
670,1,0,0,0,0,172,0,B
671,1,0,0,0,0,172,0,B
672,1,0,0,0,0,173,0,B
673,1,0,0,0,0,173,0,B
674,1,0,0,0,0,174,0,B
675,1,0,0,0,0,174,0,B
676,1,0,0,0,0,175,0,B
677,1,0,0,0,0,176,0,B
678,1,0,0,0,0,176,0,B
679,1,0,0,0,0,177,0,B
680,1,0,0,0,0,177,0,B
681,1,0,0,0,0,178,0,B
682,1,0,0,0,0,178,0,B
683,1,0,0,0,0,179,0,B
684,1,0,0,0,0,179,0,B
685,1,0,0,0,0,180,0,B
686,1,0,0,0,0,180,0,B
687,1,0,0,0,0,181,0,B
688,1,0,0,0,0,182,0,B
689,1,0,0,0,0,182,0,B
690,1,0,0,0,0,183,0,B
